Iteracja: 10; Wynik: 1023; Czas: 372
Iteracja: 11; Wynik: 2047; Czas: 406
Iteracja: 12; Wynik: 4095; Czas: 445
Iteracja: 13; Wynik: 8191; Czas: 500
Iteracja: 14; Wynik: 16383; Czas: 513
Iteracja: 15; Wynik: 32767; Czas: 544
Iteracja: 16; Wynik: 65535; Czas: 601
Iteracja: 17; Wynik: 131071; Czas: 724
Iteracja: 18; Wynik: 262143; Czas: 760
Iteracja: 19; Wynik: 524287; Czas: 797
Iteracja: 20; Wynik: 1048575; Czas: 831
Iteracja: 21; Wynik: 2097151; Czas: 866
Iteracja: 22; Wynik: 4194303; Czas: 793
Iteracja: 23; Wynik: 8388607; Czas: 826
Iteracja: 24; Wynik: 16777215; Czas: 866
Iteracja: 25; Wynik: 33554431; Czas: 1006
Iteracja: 26; Wynik: 67108863; Czas: 1081
Iteracja: 27; Wynik: 134217727; Czas: 1076
Iteracja: 28; Wynik: 268435455; Czas: 1111
